id,question,optionA,optionB,optionC,optionD,answer,category,difficulty
1,Placeholder question 1: What is the correct option?,Option C,Option D,Option B,Option A,D,Music/Audio,hard
2,Placeholder question 2: What is the correct option?,Option B,Option D,Option A,Option C,B,Logic,medium
3,Placeholder question 3: What is the correct option?,Option D,Option A,Option B,Option C,D,General,medium
4,Placeholder question 4: What is the correct option?,Option D,Option A,Option B,Option C,C,Math,medium
5,Placeholder question 5: What is the correct option?,Option C,Option B,Option A,Option D,A,Logic,medium
6,Placeholder question 6: What is the correct option?,Option B,Option D,Option A,Option C,C,General,medium
7,Placeholder question 7: What is the correct option?,Option C,Option A,Option B,Option D,C,Music/Audio,easy
8,Placeholder question 8: What is the correct option?,Option B,Option D,Option A,Option C,B,General,hard
9,Placeholder question 9: What is the correct option?,Option C,Option A,Option B,Option D,D,Math,hard
10,Placeholder question 10: What is the correct option?,Option D,Option C,Option A,Option B,A,General,medium
11,Placeholder question 11: What is the correct option?,Option C,Option A,Option B,Option D,B,Music/Audio,medium
12,Placeholder question 12: What is the correct option?,Option D,Option A,Option B,Option C,D,General,easy
13,Placeholder question 13: What is the correct option?,Option B,Option A,Option D,Option C,B,Logic,hard
14,Placeholder question 14: What is the correct option?,Option B,Option C,Option D,Option A,C,Music/Audio,easy
15,Placeholder question 15: What is the correct option?,Option B,Option C,Option A,Option D,C,Logic,hard
16,Placeholder question 16: What is the correct option?,Option C,Option B,Option D,Option A,A,Math,easy
17,Placeholder question 17: What is the correct option?,Option B,Option D,Option C,Option A,D,Programming,easy
18,Placeholder question 18: What is the correct option?,Option A,Option B,Option D,Option C,C,Math,medium
19,Placeholder question 19: What is the correct option?,Option B,Option D,Option C,Option A,B,Programming,hard
20,Placeholder question 20: What is the correct option?,Option D,Option C,Option A,Option B,C,Math,medium
21,Placeholder question 21: What is the correct option?,Option D,Option B,Option C,Option A,B,Math,hard
22,Placeholder question 22: What is the correct option?,Option B,Option C,Option D,Option A,B,Math,hard
23,Placeholder question 23: What is the correct option?,Option A,Option C,Option D,Option B,A,Programming,medium
24,Placeholder question 24: What is the correct option?,Option B,Option A,Option C,Option D,D,General,easy
25,Placeholder question 25: What is the correct option?,Option D,Option C,Option B,Option A,D,General,easy
26,Placeholder question 26: What is the correct option?,Option D,Option C,Option A,Option B,D,Programming,easy
27,Placeholder question 27: What is the correct option?,Option B,Option D,Option A,Option C,C,Logic,hard
28,Placeholder question 28: What is the correct option?,Option A,Option D,Option C,Option B,D,Music/Audio,easy
29,Placeholder question 29: What is the correct option?,Option A,Option B,Option C,Option D,B,Programming,easy
30,Placeholder question 30: What is the correct option?,Option B,Option D,Option A,Option C,B,Logic,hard
31,Placeholder question 31: What is the correct option?,Option D,Option C,Option B,Option A,A,Programming,medium
32,Placeholder question 32: What is the correct option?,Option C,Option D,Option B,Option A,B,Programming,medium
33,Placeholder question 33: What is the correct option?,Option C,Option A,Option B,Option D,C,Math,easy
34,Placeholder question 34: What is the correct option?,Option C,Option A,Option B,Option D,B,General,medium
35,Placeholder question 35: What is the correct option?,Option A,Option D,Option B,Option C,D,Math,easy
36,Placeholder question 36: What is the correct option?,Option A,Option C,Option B,Option D,D,Programming,medium
37,Placeholder question 37: What is the correct option?,Option A,Option B,Option C,Option D,B,Programming,easy
38,Placeholder question 38: What is the correct option?,Option B,Option C,Option A,Option D,C,Music/Audio,hard
39,Placeholder question 39: What is the correct option?,Option B,Option D,Option A,Option C,A,Music/Audio,hard
40,Placeholder question 40: What is the correct option?,Option D,Option B,Option C,Option A,D,Logic,medium
41,Placeholder question 41: What is the correct option?,Option C,Option D,Option B,Option A,B,General,easy
42,Placeholder question 42: What is the correct option?,Option C,Option A,Option B,Option D,D,Music/Audio,easy
43,Placeholder question 43: What is the correct option?,Option B,Option D,Option C,Option A,A,Music/Audio,easy
44,Placeholder question 44: What is the correct option?,Option B,Option A,Option C,Option D,D,Programming,hard
45,Placeholder question 45: What is the correct option?,Option D,Option A,Option C,Option B,B,Programming,hard
46,Placeholder question 46: What is the correct option?,Option B,Option C,Option A,Option D,A,Music/Audio,easy
47,Placeholder question 47: What is the correct option?,Option A,Option C,Option D,Option B,D,General,hard
48,Placeholder question 48: What is the correct option?,Option D,Option A,Option C,Option B,B,Logic,medium
49,Placeholder question 49: What is the correct option?,Option A,Option B,Option C,Option D,C,Logic,medium
50,Placeholder question 50: What is the correct option?,Option B,Option C,Option D,Option A,A,General,medium
